1,2,4,8,16,32,64,target
8536,9566,6275,3544,1175,213,34,0
8932,10807,5892,2768,1068,193,38,0
12884,14519,8609,4099,1204,191,18,0
8072,8766,6052,3525,1248,171,38,0
12936,13190,7914,3911,1275,201,18,0
13012,12843,8800,4218,1028,155,25,0
5876,11635,8344,4155,1159,197,20,0
16468,15551,8239,4067,1161,190,21,0
8596,9879,7901,4313,1184,208,20,0
13936,13776,7909,3792,1020,237,18,0
7736,9642,6574,3501,1153,209,32,0
8936,8638,5926,3131,1157,216,43,0
9236,9847,6925,3553,1037,231,23,0
4904,7174,5836,3284,1339,216,28,0
9676,10969,7657,3829,1115,234,21,0
8268,11909,8094,4007,1234,184,25,0
11572,12235,7914,3844,1028,176,38,0
6096,9536,6475,3270,1097,225,36,0
6884,9867,7039,3708,1172,204,31,0
10040,11206,8051,3858,1146,201,21,0
13024,13348,9205,4385,1201,133,27,0
10992,13776,9765,4518,1174,167,16,0
15400,14114,8305,3869,1161,192,21,0
8924,9685,6537,3357,1090,209,38,0
8900,10107,6549,3720,1124,204,35,0
7976,11538,8169,4292,1265,171,22,0
9128,10426,7419,3927,1296,201,22,0
11164,12677,7609,3847,1045,203,35,0
11484,11989,7497,3785,1041,184,34,0
10704,10252,6676,3343,1217,212,32,0
15624,14266,8637,4021,1003,156,36,0
7288,9574,6967,3810,1318,235,17,0
10024,11638,7912,3922,1104,164,36,0
14524,15949,9981,4329,1144,155,20,0
6824,8314,6911,3906,1299,228,16,0
7020,9589,6260,3814,1182,216,25,0
7384,9778,6642,3565,1124,243,28,0
14700,14537,9175,4168,1040,149,35,0
10216,12394,9027,4213,1185,181,17,0
10676,12047,8073,4194,1297,202,9,0
12272,14848,9517,4325,1156,134,24,0
10828,11257,7525,3634,1171,180,38,0
5500,8209,5728,3049,1178,252,32,0
11964,13605,8975,4087,994,131,38,0
8836,9879,7542,4011,1253,195,17,0
15224,16066,9416,3920,1061,165,19,0
5908,8211,5714,3470,1216,196,41,0
6320,8200,5431,3119,1196,235,35,0
13280,13052,8467,3900,1144,186,28,0
8780,11589,7582,3875,1226,235,13,0
10016,10172,6571,3597,1012,162,26,0
9096,10374,7102,3666,1206,201,33,0
4924,7465,5482,3502,1242,223,30,0
11484,11493,7969,3962,1059,223,23,0
11584,12992,8132,4174,1304,148,25,0
6544,8012,5936,3585,1250,229,24,0
11988,13671,8657,4194,1266,189,14,0
6684,8977,6226,3686,1211,216,26,0
16196,17035,11137,4646,889,147,23,0
8280,8934,5733,3155,1113,208,52,0
11148,12889,8569,4226,1147,166,24,0
8648,8778,6245,3583,1171,179,15,0
8788,10627,7542,3781,1039,176,38,0
7564,9857,7499,3559,1102,207,31,0
4632,6858,5608,3829,1087,226,38,0
9188,12059,9255,4201,1187,180,21,0
4200,4618,3319,2332,1185,292,42,0
12012,13181,7918,3953,1084,163,35,0
12728,11442,6952,3492,1048,190,39,0
11560,12466,8313,3986,1152,173,27,0
17236,16019,9002,3971,943,172,33,0
4644,8095,5142,3108,1181,234,42,0
7756,8881,6747,3817,1279,178,35,0
8988,10829,7499,3944,1137,205,30,0
9448,10910,7882,3828,1067,191,22,0
12852,15471,10717,4781,959,145,21,0
5796,6999,5532,3305,1300,241,29,0
11024,11920,8151,4185,1139,177,25,0
8316,10741,7279,3707,1150,181,36,0
4824,5846,4505,2941,1113,248,30,0
14828,14597,8420,3847,1018,198,28,0
9772,11693,7934,3877,1098,168,32,0
8284,8829,6139,3720,1376,241,9,0
10212,11255,7436,3974,1042,189,23,0
13984,15316,9509,4279,1050,184,18,0
9060,8907,6535,3704,1191,229,30,0
11616,13724,8147,3992,1041,166,31,0
10412,12473,8923,4391,1017,165,33,0
11696,12932,9364,4468,1234,168,15,0
15500,15685,10362,3923,938,142,41,0
5908,8451,5626,3369,1123,246,36,0
9732,12203,8853,4108,1103,136,28,0
5468,5633,4346,2784,1267,326,24,0
6536,8790,7354,4098,1177,206,24,0
5112,5906,4892,3272,1420,248,28,0
10608,12592,8189,4164,1225,174,24,0
9336,10314,7314,3765,1176,191,31,0
23876,22115,12087,4571,1083,121,12,0
15860,18291,11344,4429,856,141,28,0
7252,7135,5215,2405,765,174,42,0
7436,5681,4007,2627,935,174,42,0
7316,9703,6793,3929,1389,200,16,0
3708,4101,3771,2695,1320,291,23,0
8068,8907,5877,3180,907,160,52,0
7720,7994,5991,2998,861,181,69,0
9780,9879,6559,3166,970,201,46,0
5256,5862,4258,2627,1153,277,50,0
11356,11429,7825,4012,1245,224,15,0
10264,10814,7051,3953,1218,190,30,0
12100,11499,7181,3381,1107,175,36,0
8240,8800,6249,3235,1179,243,32,0
7216,9164,6706,3618,1229,243,17,0
15372,14897,9667,4232,1021,156,27,0
11524,11671,7890,3946,1261,206,19,0
5076,9143,6365,3526,1026,171,23,0
6600,7186,5255,3058,1065,250,38,0
9524,11191,7211,3825,1141,206,28,0
9168,9964,6884,3693,1163,203,28,0
14680,13170,7462,3494,977,187,40,0
18028,16257,8865,3942,1088,174,28,0
11788,12993,8295,4050,964,198,35,0
5124,7411,6143,3469,1137,257,26,0
7908,9267,6749,4002,1230,221,24,0
10812,13437,8769,4243,1179,204,15,0
